,Date,Value
0,2013-12-07,1
1,2013-12-19,-1
2,2014-03-01,1
3,2014-03-12,0
4,2014-03-25,0
5,2020-08-11,1
6,2020-09-17,-2
7,2020-09-18,0
8,2020-09-20,1
9,2020-09-23,1
10,2020-09-24,0
11,2020-09-27,1
12,2020-09-29,1
13,2020-09-30,-1
14,2020-10-01,0
15,2020-10-02,3
16,2020-10-04,-1
17,2020-10-05,0
18,2020-10-06,0
19,2020-10-07,2
20,2020-10-08,1
21,2020-10-09,0
22,2020-10-10,0
23,2020-10-11,1
24,2020-10-13,0
25,2020-10-14,0
26,2020-10-15,3
27,2020-10-16,1
28,2020-10-17,1
29,2020-10-18,1
30,2020-10-19,0
31,2020-10-20,1
32,2020-10-21,2
33,2020-10-22,1
34,2020-10-23,0
35,2020-10-24,1
36,2020-10-25,-1
37,2020-10-26,1
38,2020-10-27,1
39,2020-10-28,1
40,2020-10-29,1
41,2020-10-30,0
42,2020-10-31,1
43,2020-11-01,2
44,2020-11-02,-1
45,2020-11-03,1
46,2020-11-04,3
47,2020-11-06,-1
48,2020-11-07,1
49,2020-11-08,1
50,2020-11-09,1
51,2020-11-10,-2
52,2020-11-11,3
53,2020-11-12,2
54,2020-11-15,1
55,2020-11-16,1
56,2020-11-17,0
57,2020-11-18,2
58,2020-11-19,2
59,2020-11-20,1
60,2020-11-21,1
61,2020-11-22,2
62,2020-11-23,-1
63,2020-11-24,1
64,2020-11-25,1
65,2020-11-26,1
66,2020-11-27,-2
67,2020-11-28,1
68,2020-11-29,-1
69,2020-11-30,1
70,2020-12-01,-1
71,2020-12-02,0
72,2020-12-04,1
73,2020-12-05,1
74,2020-12-11,1
75,2020-12-12,2
76,2020-12-14,1
77,2020-12-15,0
78,2020-12-16,1
79,2020-12-17,1
80,2020-12-18,0
81,2020-12-19,1
82,2020-12-20,-1
83,2020-12-21,-1
84,2020-12-22,0
85,2020-12-23,3
86,2020-12-24,0
87,2020-12-26,0
88,2020-12-27,1
89,2020-12-28,2
90,2020-12-30,0
91,2020-12-31,0
92,2021-01-01,1
93,2021-01-02,0
94,2021-01-03,0
95,2021-01-04,1
96,2021-01-05,2
97,2021-01-06,2
98,2021-01-07,-2
99,2021-01-08,-1
100,2021-01-09,0
101,2021-01-10,0
102,2021-01-11,-1
103,2021-01-12,1
104,2021-01-13,2
105,2021-01-14,0
106,2021-01-15,2
107,2021-01-16,1
108,2021-01-17,-1
109,2021-01-18,1
110,2021-01-19,0
111,2021-01-20,0
112,2021-01-21,0
113,2021-01-22,0
114,2021-01-25,1
115,2021-01-26,0
116,2021-01-27,0
117,2021-01-28,2
118,2021-01-29,0
119,2021-01-30,0
120,2021-01-31,-1
121,2021-02-01,1
122,2021-02-02,2
123,2021-02-03,1
124,2021-02-04,-1
125,2021-02-05,0
126,2021-02-06,1
127,2021-02-07,0
128,2021-02-08,1
129,2021-02-09,2
130,2021-02-10,4
131,2021-02-11,0
132,2021-02-12,0
133,2021-02-13,-2
134,2021-02-14,0
135,2021-02-15,1
136,2021-02-17,1
137,2021-02-19,0
138,2021-02-20,3
139,2021-02-21,0
140,2021-02-22,0
141,2021-02-23,1
142,2021-02-24,0
143,2021-02-25,3
144,2021-02-26,0
145,2021-02-27,-1
146,2021-02-28,0
147,2021-03-01,1
148,2021-03-02,1
149,2021-03-03,1
150,2021-03-04,0
151,2021-03-05,-1
152,2021-03-06,-1
153,2021-03-07,-1
154,2021-03-08,5
155,2021-03-09,0
156,2021-03-10,2
157,2021-03-11,1
158,2021-03-12,1
159,2021-03-13,1
160,2021-03-14,1
161,2021-03-15,-1
162,2021-03-16,2
163,2021-03-17,4
164,2021-03-18,3
165,2021-03-19,0
166,2021-03-20,0
167,2021-03-21,-1
168,2021-03-22,0
169,2021-03-23,0
170,2021-03-24,2
171,2021-03-25,1
172,2021-03-26,1
173,2021-03-27,2
174,2021-03-28,2
175,2021-03-29,0
176,2021-03-30,4
177,2021-03-31,-1
178,2021-04-01,0
179,2021-04-02,1
180,2021-04-03,2
181,2021-04-04,1
182,2021-04-05,1
183,2021-04-06,2
184,2021-04-07,0
185,2021-04-08,1
186,2021-04-09,-1
187,2021-04-10,1
188,2021-04-11,0
189,2021-04-12,3
190,2021-04-13,1
191,2021-04-14,2
192,2021-04-15,0
193,2021-04-16,2
194,2021-04-17,0
195,2021-04-18,1
196,2021-04-20,0
197,2021-04-21,-1
198,2021-04-22,1
199,2021-04-23,-1
200,2021-04-24,1
201,2021-04-25,1
202,2021-04-26,1
203,2021-04-27,1
204,2021-04-28,3
205,2021-04-29,3
206,2021-04-30,2
207,2021-05-01,-1
208,2021-05-02,-1
209,2021-05-03,1
210,2021-05-04,1
211,2021-05-05,1
212,2021-05-06,3
213,2021-05-07,1
214,2021-05-08,2
215,2021-05-09,1
216,2021-05-10,2
217,2021-05-11,0
218,2021-05-12,3
219,2021-05-13,5
220,2021-05-14,1
221,2021-05-15,1
222,2021-05-16,4
223,2021-05-17,0
224,2021-05-18,-1
225,2021-05-19,0
226,2021-05-20,0
227,2021-05-21,1
228,2021-05-22,0
229,2021-05-23,-1
230,2021-05-24,2
231,2021-05-25,1
232,2021-05-26,4
233,2021-05-27,4
234,2021-05-28,-2
235,2021-05-29,1
236,2021-05-30,-1
237,2021-05-31,-1
238,2021-06-01,-1
239,2021-06-02,0
240,2021-06-03,1
241,2021-06-04,1
242,2021-06-05,-1
243,2021-06-06,3
244,2021-06-07,0
245,2021-06-08,-1
246,2021-06-09,2
247,2021-06-10,5
248,2021-06-11,4
249,2021-06-12,3
250,2021-06-13,3
251,2021-06-14,-1
252,2021-06-15,1
253,2021-06-16,1
254,2021-06-17,2
255,2021-06-18,1
